text,spam
new commodity marketplace opportunity mark per our brief conversation this morning the attached email was sent to you yesterday i hope that you might understand that i am conceptually looking for founders and at the pre business plan stage there is an enormous problem existing with a very attractive economic reward and willing participants needing this solution i need help al arfsten content transfer encoding bit x mozilla status message id date wed jan from al arfsten organization bfl associates ltd x mailer mozilla en c cck mcd nscpcd win i x accept language en mime version to mark lay enron com new commodity marketplace opportunity content type text plain charset us ascii mark lay i shared confidentially with vince kaminski my developing concept of a highly inefficient not for profit enterprise with dramatically increasing costs i believe that a for profit economic model is possible that should reverse these skyrocketing costs and ultimately lower the commodity thereby having a national if not global impact of health care costs vince seems to also believe in the concepts potential the ceo of one of the biggest u s blood banks has already asked to become involved i would like involve more people with vision means and desire to help make this a reality i would look forward to meeting with you to talk further al arfsten,0
marketpoint license agreement john fyi vince forwarded by vince j kaminski hou ect on pm dale m nesbitt on pm please respond to to cc marketpoint license agreement vince i will send you our contract for the week long engagement the way we do it is send out our time and materials contract which has a space for individual task statements i then put in a task statement for the week long project at the k level so that the costs and risks are capped for you look for it in the next day or two with regard to the long run and short run gas models they are both implemented in the same software system neither is a prerequisite for running the other but both operate the same way and the sum of the two consumes approximately the same resources are either individually i plan to have an extended visit in houston beginning one week from today and lasting through the following wednesday intensively tutoring my daughter for her first semester economics finals at rice she certainly should have gotten a better looking tutor that will make it very easy to come by and finalize whatever needs to be finalized with you that week with her in houston i spend a good bit of time there look for the stuff in the next day or two i look forward to working with you and your colleagues thanks dale original message from vince j kaminski enron com mailto vince j kaminski enron com sent monday november am to dale nesbitt worldnet att net cc vince j kaminski enron com marketpoint license agreement dale thanks for your message in our phone conversation before the meeting you mentioned another contractual arrangement under which we could work with your company employees on a case study the cost of a weekly project would be that would be applied to the purchase price should we go ahead and decide to acquire the software this project would allow us to evaluate the model and come up with an estimate of the manpower necessary to support the model internally please let me know more about this option we are primarily interested in a long term natural gas model and the database for north america unless a familiarity with the short term model is a prerequisite we don t have resources to spend too much time on it of course a trading desk may be interested in the short term version of the model i shall talk to them about it vince dale m nesbitt on pm to vince j kaminski cc marketpoint license agreement john vince i really enjoyed the meeting the other day with you and a broad cross section of your people thank you very much for setting it up and thank you for giving me the opportunity to speak with your people as i mentioned to john i am sending you the license paperwork for marketpoint i have attached our standard license agreement for your consideration as i mentioned the license agreement covers the entire bundled product which includes north american gas short and long term north american electricity short and long term world gas western european gas world oil we are just finishing porting the world oil world gas and western european gas models over from our old now obsolete software system into marketpoint so they will not be fully tested and complete for a couple of months however the gas and electricity models for north america are presently complete and tested that should allow us to give you an attractive price before the full worldwide toolkit is available throughout your worldwide business as i understood it you will want the gas modeling capability first and will want to defer decisions on electric or other capability as i mentioned at the meeting we are prepared to offer that for approximately the fully bundled price as you read the license agreement you will see that the software licenses for annually the gas data for and the electric data for marketpoint will agree to license you the gas model plus the data for the software license plus the data license for a total of annually this is just under the fully bundled price i think that is consistent with the discussions at our meeting and from marketpoint s perspective would provide a great basis to move forward together with enron if or when enron ever desires to scale up to another model or model s from the marketpoint portfolio we will simply scale you up to the entire license agreement this will allow you to decouple the gas decision from any other decisions you might make i will be glad to put this additional pricing provision into the agreement if you decide to move forward i felt i was able to communicate the philosophy scope and operation of our approach during the meeting and to deliver you much of the information you might need to evaluate whether marketpoint meets your needs i thought you were able to see the depth and sophistication of the product yet at the same time its simplicity and effectiveness i thought you were able to see the benefits of the marketpoint dimension of economic equilibrium as a complement and supplement to other approaches you will assuredly use i would be interested in your impressions and those of your colleagues i look forward to your response and to moving ahead together we view you as a very important prospective customer and client and will work with you to earn and secure your business if you decide to license marketpoint we can arrange to transfer and mount marketpoint and the short term narg model which is the model we suggest you begin with and travel to houston to deliver our day training seminar our clients are usually very fluent after that day training seminar thereafter we would want you to work with the short term narg model for a few weeks while you get up to speed very fluent and very comfortable before you take delivery of the longer term version of narg several weeks later thanks again and all the best if there is some item from the meeting that i might have forgotten to send please remind me my notes don t show anything but i was speaking a lot rather than writing notes during the meeting and might have overlooked something someone wanted dale nesbitt president marketpoint inc adonna ct los altos hills ca dale nesbitt marketpointinc com see attached file license doc,0
latest vince i appologize for shipping another version of the paper so soon after the last however my wife picked me up for some last minute shopping at noon and i wasn t sure i would get back to this before leaving tomorrow the only changes in the two documents related to a sentence or two in the intro plus the addition of unused information at the end of the document the unused stuff is made up of notes i made from hamel some news stories press releases and random thoughts we probably won t use any of this stuff but i wanted you to have it just in case it might prove useful the challenge we face at this stage and where i can most use your help is in documenting enron s risk management functions in a meaningful way this may be best done through examples or in some other way i think that our audience would appreciate our including some numerical and detailed examples even if they are to be placed in boxes or sidebars that don t interrupt the flow of the article if you ll make a pass at what you feel is appropriate i ll gladly polish on the words as i try to learn about what you are doing myself vince i really am enjoying this learning experience you guys make a wonderful lab sally and i are driving to louisiana to pick up her mom tomorrow and then driving to new orleans and back to waco by saturday however i will check in my e mail regularly your friend john enron transformation paperl doc john d martin carr p collins chair in finance finance department baylor university po box waco tx office fax j martin baylor edu web hsb baylor edu html martinj home html,0
chicago partners david i sent a message with information to several different units but no response so far i think people need a specific need to focus and i shall keep the chicago partners in mind when a relevant project arrives i shall resend the message with attachments on cp in a few weeks as a reminder vince vince david barr enron net on am to vkamins enron com cc chicago partners vince hope this finds you well i am sure you are more than busy but i wanted to see where we stand with feedback regarding me coordinating a potential presentation by chris culp at cp risk management regards david,0
london visit i understand that you will be in london around september tom lewthwaite has asked me to arrange a meeting between you tom and julian leake i understand that you have met tom and julian before i would also like to attend i am a manager in our uk financial services practice with responsibilty for enron from a uk financial services perspective we would like to discuss any risk management concerns that you may have and any internal initiatives with which we could assist if you are happy to meet i would be grateful if you could let me know how you to proceed whether i should arrange timings with you your secretary someone in london etc you can contact me on at enron s london offices or on this e mail address kind regards paul day internet email confidentiality footer privileged confidential information may be contained in this message if you are not the addressee indicated in this message or responsible for delivery of the message to such person you may not copy or deliver this message to anyone in such case you should destroy this message and kindly notify the sender by reply email please advise immediately if you or your employer do not consent to internet email for messages of this kind opinions conclusions and other information in this message that do not relate to the official business of my firm shall be understood as neither given nor endorsed by it,0
vince kaminski vince did you get the below email from jim garven would you be able to stay over and speak at the risk management fraternity and perhaps come in a day early and speak to his students shirley forwarded by shirley crenshaw hou ect on pm jim garven on pm to shirley crenshaw cc vince kaminski dear ms crenshaw on november i sent vince kaminski an email inviting him to visit baylor university where i now hold an appointment as professor of finance having resigned from lsu this pas spring i have yet to receive a reply from him can you bring this email copied below to his attention thanks jim garven dear vince since we last corresponded i have left lsu and am now professor of finance insurance at baylor university in waco tx my colleague at baylor john martin mentioned that you will be coming to campus for a conference on friday february that he is organizing i am curious whether your schedule might permit staying over that evening so that we can feature you as our dinner speaker for the chartering ceremony of gamma iota sigma a national risk management fraternity for that matter would you also possibly be available to make any presentations to undergraduate and graduate students on the previous day thursday february what i have in mind is a presentation similar to the presentations you made last spring to my lsu classes thank you for your consideration of this request i am looking forward to seeing you once again sincerely jim garven james r garven ph d professor of finance insurance department of finance insurance and real estate hankamer school of business hsb baylor university box waco tx voice fax e mail james garven baylor edu home page garven baylor edu vita garven baylor edu dossier html research paper archive garven baylor edu research html,0
datren williams acceptance you are right vince celeste and i did discuss it and she approved his feb start date datren does know about that so it sounds like it is cleared up thanks so much and we are sorry for the confusion carol vince j kaminski pm to stinson gibner hou ect ect cc carol coats hou ect ect datren williams acceptance stinson i think it s a mistake it should be february vince stinson gibner pm to vince j kaminski hou ect ect cc datren williams acceptance fyi forwarded by stinson gibner hou ect on pm carol coats pm to celeste roberts hou ect ect cc stinson gibner hou ect ect datren williams acceptance celeste i just received datren williams acceptance with the following note attached my graduation date ph d candidate from lsu is dec celeste roberts has informed me that i would have the option of starting work feb i am under the impression that i will start in feb my offer letter has a start date of aug if this is a problem please give me a call looking forward to working at enron thanks a million datren w please let me know if he may in fact start in feb and if so do you have a specific date for him or may he choose thanks celeste carol,0
operational risk michael the science of measuring operational risk is in its early stages of development there are really no cook book solutions one has to use creativity and a lot of common sense vince to vince j kaminski hou ect ect cc operational risk mr kaminsky recently i read articles published by garp and monographs in a book published by garp although they are excellent sources of introduction to operational risk none of them have any details on the how to if you know of a good book or book s could you recommend one thank you michael kim,0
year end performance feedback note you will receive this message each time you are selected as a reviewer you have been selected to participate in the year end performance management process by providing meaningful feedback on specific employee s your feedback plays an important role in the process and your participation is critical to the success of enron s performance management goals to complete requests for feedback access pep at pep corp enron com and select perform review under performance review services you may begin providing feedback immediately and are requested to have all feedback forms completed by friday november if you have any questions regarding pep or your responsibility in the process please contact the pep help desk at houston option london option email perfmgmt enron com thank you for your participation in this important process the following is a cumulative list of employee feedback requests with a status of open once you have submitted or declined an employee s request for feedback their name will no longer appear on this list review group enron feedback due date nov employee name supervisor name date selected andrews naveen c rudi c zipter oct baxter ashley david davies nov carson richard l richard b buy oct crenshaw shirley j wincenty j kaminski oct kindall kevin vasant shanbhogue oct lamas vieira pinto rodrigo david port oct supatgiat chonawee peyton s gibner oct tamarchenko tanya v vasant shanbhogue oct villarreal norma e sheila h walton oct walton sheila h david oxley oct yaman sevil vasant shanbhogue oct yuan ding richard l carson oct,0
ca for henwood engagement stinson please find attached a revised version of the draft consulting agreement with henwood fyi i am attaching both a clean version and one marked toshow changes from the last draft i sent you please let me know if you have any questions or comments on the agreement or the most recent changes what is the status of henwood do you still want to engage them and what is the timeframe for their work the dates in the draft may need to be corrected bruce and lauren please advise on which enron entity should be the party to this consulting agreement thanks bonnie,0
var meetings in houston shirley do you think we can get another room with better speaker phone or may be we can get better speaker phone tanya viacheslav danilov pm to tanya tamarchenko hou ect ect cc stig faltinsen eu enron enron kirstee hewitt lon ect ect var meetings in houston hi tanya in my view it is very good if stig and kirstee are involved in your var meetings therefore i think it is very useful for them to call houston could we get a little bit better equipment to allow them to hear everything well many thanks slava forwarded by viacheslav danilov lon ect on stig faltinsen enron to viacheslav danilov lon ect ect cc kirstee hewitt lon ect ect var meetings in houston hi slava kirstee and i find it useful to listen in on the var meetings in houston on wednesdays however it is very difficult to follow the discussion due to a practical problem we hear little or nothing at times a possible solution to this problem might be to ask whether one could install a spider phone in the var meeting room what i mean is a phone similar to the one in the rac morning meetings which have several remote speakers going out from the main phone do you understand what i mean if this is done we would hear everyone around the table not just those seated close to the phone what is you opinion on a us in london calling in to these meetings b getting some better equipment which would make it easier to follow the conversation spider phone or bigger speaker please let me know what your thoughts are best regards stig,0
clear benefits of creative design lt is really hard to recollect a company the market is full of suqgestions and the information isoverwhelminq but a good catchy logo stylish statlonery and outstandlng webslte wili make the task much easier we do not promise that having ordered a ioqo your company will automaticaiiy become a world ieader it isquite ciear that without qood products effective business organization and practicable aim it will be hotat nowadays market but we do promise that your marketing efforts will become much more effective here is the list of clear benefits creativeness hand made original logos specially done to reflect your distinctive company image convenience logo and stationery are provided in all formats easy to use content management system letsyou change your website content and even its structure promptness you will see logo drafts within three business days affordability your marketing break through shouldn t make gaps in your budget satisfaction guaranteed we provide unlimited amount of changes with no extra fees for you to be surethat you will love the result of this collaboration have a look at our portfolio not interested,1
modeling in real options vince my name is jeanne anne klein and i am a financial modeler working with mingcheng lian on a high profile pipeline project in china zimin lu referred us to you regarding questions we have on the real option valuation approach we are very enthusiastic about what we have read and heard about this valuation method we have been doing some preliminary research on the real option valuation approach and believe that integrating this approach into our financial model would bring a significant increase to the value to the project we have identified some deal aspects we believe would be ideal to valuate as real options our goal is to work with the development team to structure the deal to incorporate the real option valuation approach into the model enabling us to arrange the contracts within the deal to optimize the project s value we would like to arrange a meeting with you at your ealiest convenience to brainstorm on additional deal aspects that can be valued using the real option approach as well as on ways to quantify these aspects using the real option valuation method please advise if you will be able to meet with us within the next week or two thank you for your kind attention jeanne anne x,0
